,ObjectID,Term,ThesXrefType,LatitudeNumber,LongitudeNumber
0,1960,M̩xico,Place found,23.0,-102.0
1,1967,M̩xico,Place found,23.0,-102.0
2,14721,M̩xico,Place found,23.0,-102.0
4,17252,Oklahoma,Place found,35.0,-98.0
7,17443,Ohio,Place found,40.0,-80.83
11,17478,United States of America,Place found,38.0,-98.0
13,22539,United States of America,Place found,38.0,-98.0
15,22753,United States of America,Place found,38.0,-98.0
17,22945,United States of America,Place found,38.0,-98.0
19,23498,United States of America,Place found,38.0,-98.0
22,23504,United States of America,Place found,38.0,-98.0
24,24285,Philippines,Place found,13.0,122.0
26,24647,Oklahoma,Place found,35.0,-98.0
28,30203,Michigan,Place found,44.0,-85.0
30,30204,Arkansas,Place found,35.0,-93.0
31,30205,Arkansas,Place found,35.0,-93.0
34,30206,Arkansas,Place found,35.0,-93.0
35,30207,Arkansas,Place found,35.0,-93.0
36,30209,Ouachita River,Place found,34.68,-94.32
41,30210,Arkansas,Place found,35.0,-93.0
42,30211,Arkansas,Place found,35.0,-93.0
43,30214,Arkansas,Place found,35.0,-93.0
44,30215,Arkansas,Place found,35.0,-93.0
45,30217,Ouachita River,Place found,34.68,-94.32
50,30218,Arkansas,Place found,35.0,-93.0
51,30219,Arkansas,Place found,35.0,-93.0
52,30220,Ouachita River,Place found,34.68,-94.32
57,30222,Arkansas,Place found,35.0,-93.0
58,30223,Arkansas,Place found,35.0,-93.0
59,30225,Ouachita River,Place found,34.68,-94.32
64,30226,Arkansas,Place found,35.0,-93.0
65,30227,Arkansas,Place found,35.0,-93.0
66,30228,Ouachita River,Place found,34.68,-94.32
71,30230,Arkansas,Place found,35.0,-93.0
72,30231,Arkansas,Place found,35.0,-93.0
73,30233,Missouri,Place found,38.0,-98.0
75,30234,Arkansas,Place found,35.0,-93.0
76,30238,Indiana,Place found,40.0,-86.0
78,30244,Arkansas,Place found,35.0,-93.0
82,30246,Michigan,Place found,44.0,-85.0
84,30248,Arkansas,Place found,35.0,-93.0
87,30249,United States of America,Place found,38.0,-98.0
89,30250,Ohio,Place found,40.0,-80.83
91,30251,United States of America,Place found,38.0,-98.0
93,30252,United States of America,Place found,38.0,-98.0
95,30253,United States of America,Place found,38.0,-98.0
97,30254,Kentucky,Place found,37.0,-85.0
99,30258,United States of America,Place found,38.0,-98.0
101,30259,Michigan,Place found,44.0,-85.0
103,30262,United States of America,Place found,38.0,-98.0
105,30263,United States of America,Place found,38.0,-98.0
107,30266,United States of America,Place found,38.0,-98.0
109,30267,United States of America,Place found,38.0,-98.0
111,30268,United States of America,Place found,38.0,-98.0
113,30269,United States of America,Place found,38.0,-98.0
115,30272,United States of America,Place found,38.0,-98.0
117,30273,United States of America,Place found,38.0,-98.0
120,30276,United States of America,Place found,38.0,-98.0
122,30277,United States of America,Place found,38.0,-98.0
125,30279,Saint Lawrence Island,Place found,63.5,-170.43
126,30281,United States of America,Place found,38.0,-98.0
128,30282,Saint Lawrence Island,Place found,63.5,-170.43
129,30283,Saint Lawrence Island,Place found,63.5,-170.43
130,30286,Alaska,Place found,65.0,-153.0
131,30288,Arkansas,Place found,35.0,-93.0
132,30289,Saint Lawrence Island,Place found,63.5,-170.43
133,30290,Alaska,Place found,65.0,-153.0
135,30291,Arkansas,Place found,35.0,-93.0
136,30292,Arkansas,Place found,35.0,-93.0
137,30293,Alaska,Place found,65.0,-153.0
139,30295,Arkansas,Place found,35.0,-93.0
140,30296,Arkansas,Place found,35.0,-93.0
141,30297,United States of America,Place found,38.0,-98.0
143,30298,Saint Lawrence Island,Place found,63.5,-170.43
144,30299,Arkansas,Place found,35.0,-93.0
145,30300,Arkansas,Place found,35.0,-93.0
146,30301,Alaska,Place found,65.0,-153.0
147,30302,Alaska,Place found,65.0,-153.0
149,30303,Arkansas,Place found,35.0,-93.0
150,30304,Arkansas,Place found,35.0,-93.0
151,30305,Alaska,Place found,65.0,-153.0
153,30306,Alaska,Place found,65.0,-153.0
155,30307,Arkansas,Place found,35.0,-93.0
156,30308,Arkansas,Place found,35.0,-93.0
157,30309,Alaska,Place found,65.0,-153.0
159,30310,Alaska,Place found,65.0,-153.0
161,30311,Arkansas,Place found,35.0,-93.0
162,30312,Arkansas,Place found,35.0,-93.0
163,30314,Alaska,Place found,65.0,-153.0
165,30315,Arkansas,Place found,35.0,-93.0
166,30316,Illinois,Place found,40.0,-89.0
168,30317,Alaska,Place found,65.0,-153.0
171,30318,Alaska,Place found,65.0,-153.0
173,30320,Ohio,Place found,40.0,-80.83
174,30322,Alaska,Place found,65.0,-153.0
176,30323,Illinois,Place found,40.0,-89.0
178,30325,Cape Prince of Wales,Place found,65.58,-168.83
179,30326,Alaska,Place found,65.0,-153.0
181,30329,Kotzebue Sound,Place found,66.53,-162.73
182,30330,Alaska,Place found,65.0,-153.0
184,30331,Illinois,Place found,40.0,-89.0
187,30332,Illinois,Place found,40.0,-89.0
189,30333,Saint Lawrence Island,Place found,63.5,-170.43
190,30334,Alaska,Place found,65.0,-153.0
192,30335,Illinois,Place found,40.0,-89.0
194,30337,Alaska,Place found,65.0,-153.0
196,30338,Kotzebue Sound,Place found,66.53,-162.73
197,30343,Illinois,Place found,40.0,-89.0
199,30346,Ohio,Place found,40.0,-80.83
201,30347,Illinois,Place found,40.0,-89.0
203,30348,Ohio,Place found,40.0,-80.83
204,30350,Ohio,Place found,40.0,-80.83
206,30351,Tennessee,Place found,35.5,-85.0
208,30356,Ohio,Place found,40.0,-80.83
209,30359,Oklahoma,Place found,35.0,-98.0
211,30362,United States of America,Place found,38.0,-98.0
214,30363,Leflore county,Place found,33.52,-90.22
220,30364,Leflore county,Place found,33.52,-90.22
226,30366,Leflore county,Place found,33.52,-90.22
232,30375,Leflore county,Place found,33.52,-90.22
238,30377,Anderson River,Place found,38.3,-86.6
239,30378,Oklahoma,Place found,35.0,-98.0
242,30379,Oklahoma,Place found,35.0,-98.0
245,30380,Alaska,Place found,65.0,-153.0
246,30381,Alaska,Place found,65.0,-153.0
248,30382,Leflore county,Place found,33.52,-90.22
254,30384,Illinois,Place found,40.0,-89.0
255,30385,Illinois,Place found,40.0,-89.0
259,30387,Leflore county,Place found,33.52,-90.22
265,30388,Illinois,Place found,40.0,-89.0
269,30389,Leflore county,Place found,33.52,-90.22
275,30391,Illinois,Place found,40.0,-89.0
279,30392,Ohio,Place found,40.0,-80.83
281,30393,Illinois,Place found,40.0,-89.0
283,30394,Arkansas,Place found,35.0,-93.0
284,30397,Illinois,Place found,40.0,-89.0
286,30398,Ohio,Place found,40.0,-80.83
289,30399,Georgia,Place found,32.0,-84.0
291,30400,Ohio,Place found,40.0,-80.83
293,30405,Illinois,Place found,40.0,-89.0
295,30407,Panama,Place found,9.0,-80.0
296,30409,Missouri,Place found,38.0,-98.0
298,30410,Central Mexico,Place found,,
300,30411,Central Mexico,Place found,,
302,30412,Illinois,Place found,40.0,-89.0
304,30413,Illinois,Place found,40.0,-89.0
306,30414,M̩xico,Place found,23.0,-102.0
308,30415,M̩xico,Place found,23.0,-102.0
309,30417,Michigan,Place found,44.0,-85.0
311,30419,M̩xico,Place found,23.0,-102.0
312,30420,Ohio,Place found,40.0,-80.83
314,30422,M̩xico,Place found,23.0,-102.0
315,30423,Illinois,Place found,40.0,-89.0
317,30424,Ohio,Place found,40.0,-80.83
318,30425,M̩xico,Place found,23.0,-102.0
