ObjectID,Term,ThesXrefType,LatitudeNumber,LongitudeNumber
30431,Valley of Mexico,Place found,,
30432,México,Place found,23,-102
30432,Mesoamerica,Cultural Area,,
30432,Valley of Mexico,Place found,,
30433,Indiana,Place found,40,-86
30433,Huntington,Place found,40.87,-85.48
30435,Mesoamerica,Cultural Area,,
30436,Indiana,Place found,40,-86
30436,Brown,Place found,39.2,-86.25
30438,México,Place found,23,-102
30438,Mesoamerica,Cultural Area,,
30438,Valley of Mexico,Place found,,
30439,México,Place found,23,-102
30439,Mesoamerica,Cultural Area,,
30439,Mesoamerica,Cultural Area,,
30440,Michigan,Place found,44,-85
30440,Bay,Place found,43.73,-84.16
30440,Northeast,Cultural Area,,
30441,Michigan,Place found,44,-85
30441,Eaton,Place found,42.6,-84.85
30441,Northeast,Cultural Area,,
30442,México,Place found,23,-102
30442,Vera Cruz,Place found,19.33,-96.67
30442,pueblo,Place found,,
30442,Mesoamerica,Cultural Area,,
30443,Michigan,Place found,44,-85
30443,Allegan,Place found,42.6,-85.87
30443,Northeast,Cultural Area,,
30445,México,Place found,23,-102
30445,Mesoamerica,Cultural Area,,
30445,Mesoamerica,Cultural Area,,
30446,Michigan,Place found,44,-85
30446,Allegan,Place found,42.6,-85.87
30446,Northeast,Cultural Area,,
30447,Ohio,Place found,40,-80.83
30447,Wayne,Place found,40.83,-81.88
30447,Northeast,Cultural Area,,
30448,México,Place found,23,-102
30448,Mesoamerica,Cultural Area,,
30448,Mesoamerica,Cultural Area,,
30450,Ohio,Place found,40,-80.83
30450,Franklin,Place found,39.97,-83.16
30450,Northeast,Cultural Area,,
30451,Ohio,Place found,40,-80.83
30451,Auglaize,Place found,40.55,-84.25
30451,Northeast,Cultural Area,,
30452,United States of America,Place found,38,-98
30452,Great Plains,Place found,39.42,-101.28
30452,Plains,Cultural Area,,
30453,England,Place Made,53,-2
30454,Michigan,Place found,44,-85
30454,Saint Joseph,Place found,41.75,-85.5
30454,Northeast,Cultural Area,,
30455,United States of America,Place found,38,-98
30455,Great Plains,Place found,39.42,-101.28
30455,Plains,Cultural Area,,
30456,United States of America,Place found,38,-98
30456,Mississippi Valley State College,Place found,33.5,-90.33
30456,Illinois,Place found,40,-89
30456,France,Place found,46,2
30456,France,Place Made,46,2
30457,France,Place Made,46,2
30458,United States of America,Place found,38,-98
30458,Great Plains,Place found,39.42,-101.28
30458,Plains,Cultural Area,,
30459,United States of America,Place found,38,-98
30459,Great Plains,Place found,39.42,-101.28
30459,Plains,Cultural Area,,
30460,United States of America,Place found,38,-98
30460,France,Place Made,46,2
30461,France,Place Made,46,2
30462,United States of America,Place found,38,-98
30462,Great Plains,Place found,39.42,-101.28
30462,Plains,Cultural Area,,
30463,United States of America,Place found,38,-98
30463,Great Plains,Place found,39.42,-101.28
30463,Plains,Cultural Area,,
30464,Southwest,Cultural Area,,
30465,Southwest,Cultural Area,,
30466,United States of America,Place found,38,-98
30466,Great Plains,Place found,39.42,-101.28
30466,Plains,Cultural Area,,
30467,United States of America,Place found,38,-98
30467,Great Plains,Place found,39.42,-101.28
30467,Plains,Cultural Area,,
30468,Arizona,Place found,34,-112
30468,Southwest,Cultural Area,,
30468,South Central Arizona,Place found,,
30469,Arizona,Place found,34,-112
30469,Southwest,Cultural Area,,
30470,United States of America,Place found,38,-98
30470,Great Plains,Place found,39,-101
30470,Plains,Cultural Area,,
30471,United States of America,Place found,38,-98
30471,Great Plains,Place found,39.42,-101.28
30471,Plains,Cultural Area,,
30472,Alaska,Place found,65,-153
30472,Shishmaref,Place found,66.25,-166.66
30472,Arctic,Cultural Area,,
30473,Plains,Cultural Area,,
30475,United States of America,Place found,38,-98
30475,Great Plains,Place found,39.42,-101.28
30475,Plains,Cultural Area,,
30476,New Mexico,Place found,35,-105
30476,Zuni,Place found,35.66,-108.83
30476,Southwest,Cultural Area,,
30477,United States of America,Place found,38,-98
30477,Alaska,Place found,65,-153
30477,Nelson Island,Place found,60.63,-164.75
30477,Arctic,Cultural Area,,
30478,Plains,Cultural Area,,
30479,Plains,Cultural Area,,
30480,United States of America,Place found,38,-98
30480,Great Plains,Place found,39.42,-101.28
30480,Plains,Cultural Area,,
30481,Alaska,Place found,65,-153
30481,Nome,Place found,64.5,-165.4
30481,Arctic,Cultural Area,,
30482,Plains,Cultural Area,,
30485,United States of America,Place found,38,-98
30485,Southwest,Place found,0,0
30485,Plains,Cultural Area,,
30486,United States of America,Place found,38,-98
30486,Great Plains,Place found,39.42,-101.28
30486,Plains,Cultural Area,,
30487,Plains,Cultural Area,,
30488,Southwest,Cultural Area,,
30490,Plains,Cultural Area,,
30491,United States of America,Place found,38,-98
30491,Great Plains,Place found,39.42,-101.28
30491,Plains,Cultural Area,,
30493,United States of America,Place found,38,-98
30493,Great Plains,Place found,39,-101
30493,Plains,Cultural Area,,
30494,United States of America,Place found,38,-98
30494,Great Plains,Place found,39.42,-101.28
30494,Plains,Cultural Area,,
30495,Plains,Cultural Area,,
30496,United States of America,Place found,38,-98
30496,Great Plains,Place found,39.42,-101.28
30496,Plains,Cultural Area,,
30497,Plains,Cultural Area,,
30499,Plains,Cultural Area,,
30500,United States of America,Place found,38,-98
30500,Great Plains,Place found,39.42,-101.28
30500,Plains,Cultural Area,,
30501,United States of America,Place found,38,-98
30501,Great Plains,Place found,39.42,-101.28
30501,Plains,Cultural Area,,
30504,Ohio,Place found,40,-80.83
30504,Hamilton,Place found,39.18,-84.53
30504,Northeast,Cultural Area,,
30505,United States of America,Place found,38,-98
30505,Southeast,Place found,,
30506,Ohio,Place found,40,-80.83
30506,Scioto,Place found,38.8,-82.98
30506,Northeast,Cultural Area,,
30507,South Carolina,Place found,34,-80
30508,United States of America,Place found,38,-98
30508,Great Plains,Place found,39.42,-101.28
30511,Plains,Cultural Area,,
30512,United States of America,Place found,38,-98
30512,Great Plains,Place found,39.42,-101.28
30512,Plains,Cultural Area,,
30513,United States of America,Place found,38,-98
30513,Great Plains,Place found,39,-101
30513,Plains,Cultural Area,,
30514,United States of America,Place found,38,-98
30514,Great Plains,Place found,39.42,-101.28
30514,Plains,Cultural Area,,
30515,United States of America,Place found,38,-98
30515,Great Plains,Place found,39.42,-101.28
30515,Plains,Cultural Area,,
30516,Plains,Cultural Area,,
30519,Tennessee,Place found,35.5,-85
30519,Henry,Place found,36.33,-88.32
30519,Southeast,Cultural Area,,
30521,Missouri,Place found,38,-98
30521,Saint Louis,Place found,38.63,-90.4
30526,Illinois,Place found,40,-89
30526,Northeast,Cultural Area,,
30527,Illinois,Place found,40,-89
30527,Northeast,Cultural Area,,
30530,Missouri,Place found,38,-98
30531,Missouri,Place found,38,-98
30531,Saint Charles,Place found,38.77,-90.73
30537,Kansas,Place found,38.67,-98
30537,Southern Kansas,Place found,,
30538,Illinois,Place found,40,-89
30538,Madison,Place found,0,0
30538,Northeast,Cultural Area,,
30539,Ohio,Place found,40,-80.83
30539,Northeast,Cultural Area,,
30541,Illinois,Place found,40,-89
30541,Scott,Place found,39.65,-90.47
30541,Northeast,Cultural Area,,
30542,Illinois,Place found,40,-89
30542,Northeast,Cultural Area,,
30544,Missouri,Place found,38,-98
30544,Franklin,Place found,38.43,-91.66
30547,Illinois,Place found,40,-89
30547,Johnson,Place found,37.45,-88.87
30547,Northeast,Cultural Area,,
30549,Arkansas,Place found,35,-93
30549,Montgomery,Place found,34.53,-93.65
30549,Alaska,Place found,65,-153
30549,Southeast,Cultural Area,,
30549,Ouachita River Basin,Place found,,
30550,Arkansas,Place found,35,-93
30550,Sevier,Place found,33.98,-94.25
30550,Alaska,Place found,65,-153
30550,Red River Basin,Place found,,
30551,Ouachita River,Place found,34.68,-94.32
30551,Red River,Place found,34.57,-99.95
30551,Arkansas,Place found,35,-93
30551,Nevada,Place found,33.65,-93.33
30551,Alaska,Place found,65,-153
30552,Arkansas,Place found,35,-93
30552,Alaska,Place found,65,-153
30554,Arkansas,Place found,35,-93
30554,Montgomery,Place found,34.53,-93.65
30554,Alaska,Place found,65,-153
30554,Southeast,Cultural Area,,
30554,Ouachita River Basin,Place found,,
30555,Arkansas,Place found,35,-93
30555,Scott,Place found,34.87,-94.33
30555,Alaska,Place found,65,-153
30556,Arkansas,Place found,35,-93
30556,Cross,Place found,35.3,-90.77
30556,Cross county,Place found,35.3,-90.77
30556,Alaska,Place found,65,-153
30556,Southeast,Cultural Area,,
30556,Saint Francis River Basin,Place found,,
30557,Arkansas,Place found,35,-93
30557,Mineral Springs,Place found,35.63,-93.72
30557,Alaska,Place found,65,-153
30558,Ouachita River,Place found,34.68,-94.32
30558,Red River,Place found,34.57,-99.95
30558,Arkansas,Place found,35,-93
30558,Hempstead,Place found,33.72,-93.67
30558,Alaska,Place found,65,-153
30559,Arkansas,Place found,35,-93
30559,Yell,Place found,35,-93.42
30559,Alaska,Place found,65,-153
30560,Arkansas,Place found,35,-93
30560,Lafayette,Place found,33.27,-93.6
30560,Alaska,Place found,65,-153
30560,Red River Basin,Place found,,
30561,Arkansas,Place found,35,-93
30561,Yell,Place found,35,-93.42
30561,Alaska,Place found,65,-153
30562,Arkansas,Place found,35,-93
30562,Montgomery,Place found,34.53,-93.65
30562,Alaska,Place found,65,-153
30562,Ouachita River Basin,Place found,,
