,ObjectID,Term,ThesXrefType,LatitudeNumber,LongitudeNumber
295,30407,Panama,Place found,9,-80
6212,33973,Panama,Place found,9,-80
6213,33974,Panama,Place found,9,-80
6214,33975,Panama,Place found,9,-80
6215,33976,Panama,Place found,9,-80
6216,33977,Panama,Place found,9,-80
6217,33978,Panama,Place found,9,-80
6554,34184,Panama,Place found,9,-80
6555,34185,Panama,Place found,9,-80
6556,34186,Panama,Place found,9,-80
6557,34187,Panama,Place found,9,-80
6558,34188,Panama,Place found,9,-80
6559,34189,Panama,Place found,9,-80
6560,34190,Panama,Place found,9,-80
6561,34191,Panama,Place found,9,-80
6562,34192,Panama,Place found,9,-80
6563,34193,Panama,Place found,9,-80
6564,34194,Panama,Place found,9,-80
6565,34195,Panama,Place found,9,-80
6566,34196,Panama,Place found,9,-80
6567,34197,Panama,Place found,9,-80
6568,34198,Panama,Place found,9,-80
6569,34199,Panama,Place found,9,-80
6570,34200,Panama,Place found,9,-80
6571,34201,Panama,Place found,9,-80
6572,34202,Panama,Place found,9,-80
6573,34203,Panama,Place found,9,-80
6574,34204,Panama,Place found,9,-80
6578,34206,Panama,Place found,9,-80
6579,34207,Panama,Place found,9,-80
6581,34209,Panama,Place found,9,-80
6582,34210,Panama,Place found,9,-80
6904,34449,Panama,Place found,9,-80
6909,34455,Panama,Place found,9,-80
6511,34153,Costa Rica,Place found,10,-84
6514,34155,Costa Rica,Place found,10,-84
6520,34160,Costa Rica,Place found,10,-84
6894,34444,Costa Rica,Place found,10,-84
7982,44788,Great,Place Made,12.13,61.6
24,24285,Philippines,Place found,13,122
6442,34112,Guatemala,Place found,15.5,-90.25
6197,33966,Yucatan Peninsula,Place found,19.5,-89
6210,33971,Yucatan Peninsula,Place found,19.5,-89
6211,33972,Yucatan Peninsula,Place found,19.5,-89
6269,34006,Yucatan Peninsula,Place found,19.5,-89
6274,34010,Yucatan Peninsula,Place found,19.5,-89
6289,34022,Yucatan Peninsula,Place found,19.5,-89
0,1960,M̩xico,Place found,23,-102
1,1967,M̩xico,Place found,23,-102
2,14721,M̩xico,Place found,23,-102
306,30414,M̩xico,Place found,23,-102
308,30415,M̩xico,Place found,23,-102
311,30419,M̩xico,Place found,23,-102
314,30422,M̩xico,Place found,23,-102
318,30425,M̩xico,Place found,23,-102
324,30431,M̩xico,Place found,23,-102
326,30432,M̩xico,Place found,23,-102
332,30438,M̩xico,Place found,23,-102
334,30439,M̩xico,Place found,23,-102
339,30442,M̩xico,Place found,23,-102
344,30445,M̩xico,Place found,23,-102
349,30448,M̩xico,Place found,23,-102
4967,33295,M̩xico,Place found,23,-102
5499,33586,M̩xico,Place found,23,-102
5501,33587,M̩xico,Place found,23,-102
5503,33588,M̩xico,Place found,23,-102
5505,33590,M̩xico,Place found,23,-102
5507,33591,M̩xico,Place found,23,-102
5509,33592,M̩xico,Place found,23,-102
5511,33593,M̩xico,Place found,23,-102
5513,33594,M̩xico,Place found,23,-102
