ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp
38453,55148,Place collected,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPauk=
40767,55151,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaus=
41113,55152,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPauw=
41114,55153,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPau0=
41115,55154,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPau4=
40423,55197,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaw8=
40424,55198,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaxA=
40425,55199,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaxE=
40201,55201,Place made,1,North America,,United States,,Wisconsin,Woodman,,,,,,,43.08998,-90.80124,http://www.geonames.org/5279654/woodman.html,AAAAADpPaxM=
43071,55202,Place made,1,North America,,United States,,New York,New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPaxQ=
2020,55205,Place made,1,North America,American southwest,United States,Rio Grande,New Mexico,Cochiti Pueblo,,,,,,,35.60753,-106.34725,http://www.geonames.org/5462496/cochiti-pueblo.html,AAAAADpPaxU=
2028,55213,Place made,1,North America,American southwest,United States,Colorado Plateau,New Mexico,Acoma Pueblo,,,,,,,34.89644,-107.58172,http://www.geonames.org/5454217/acoma-pueblo.html,AAAAADpPax0=
2029,55214,Place made,1,North America,American southwest,United States,Colorado Plateau,New Mexico,Acoma Pueblo,,,,,,,34.89644,-107.58172,http://www.geonames.org/5454217/acoma-pueblo.html,AAAAADpPax4=
2030,55249,Place made,1,North America,American southwest,United States,Colorado Plateau,New Mexico,Acoma Pueblo,,,,,,,34.89644,-107.58172,http://www.geonames.org/5454217/acoma-pueblo.html,AAAAADpPayA=
40493,55250,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPayE=
40494,55251,Place made,1,North America,,United States,,,,,,,,Imperial Valley,,32.79081,-115.53583,http://www.geonames.org/7428340/imperial-valley.html,AAAAADpPayI=
40496,55253,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPayQ=
40497,55254,Place made,1,Asia,,Indonesia,,,,,,,,Java,,-5,120,http://www.geonames.org/1643084/republic-of-indonesia.html,AAAAADpPayU=
40498,55255,Place made,1,Asia,,Indonesia,,,,,,,,,,-5,120,http://www.geonames.org/1643084/republic-of-indonesia.html,AAAAADpPayY=
40499,55256,Place made,1,South America,,Venezuela,,,,,,,,,,8,-66,http://www.geonames.org/3625428/bolivarian-republic-of-venezuela.html,AAAAADpPayc=
43412,55258,Place made,1,North America,,United States,,New York,New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPayg=
42813,55275,Place made,1,North America,,United States,,California,San Francisco,,,,,,,37.77493,-122.41942,http://www.geonames.org/5391959/san-francisco.html,AAAAADpPay0=
40413,55279,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPay8=
40789,55392,Place made,1,North America,,United States,,California,San Francisco,,,,,San Francisco Bay,,37.70826,-122.28025,http://www.geonames.org/5391961/san-francisco-bay.html,AAAAADpPa30=
39786,55498,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa8A=
40508,55500,Place made,1,North America,,United States,,New York,New York,,,,,,,40.78343,-73.96625,http://www.geonames.org/5125771/manhattan.html,AAAAADpPa8I=
42653,55519,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa8w=
42654,55520,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa80=
42655,55521,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa84=
42656,55522,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa88=
42657,55523,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa9A=
