ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp
10846,55389,Place made,1,North America,,United States,,missing,missing,,,,,,,NULL,,,AAAAADpPa3w=
40798,55501,Place made,1,North America,,United States,,Kentucky,Lexington,,,,,,,,,http://www.geonames.org/4297983/lexington.html,AAAAAE1uMYM=
40798,55501,Place made,1,North America,,United States,,Kentucky,Lexington,,,,,,,,,http://www.geonames.org/4297983/lexington.html,AAAAAE1uMYM=
3434,56287,Place made,1,North America,,United States,,missing,missing,,,,,,,NULL,,http://www.geonames.org/maps/google_39.76_-98.5.html,AAAAADpPbWE=
3437,57130,Place made,1,North America,,United States,,missing,missing,,,,,,,NULL,,http://www.geonames.org/maps/google_39.76_-98.5.html,AAAAADpPcFQ=
4639,58353,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPcq8=
4703,59065,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/maps/google_40.714_-74.006.html,AAAAAFcbI4w=
4703,59065,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/maps/google_40.714_-74.006.html,AAAAAFcbI4w=
17166,59504,Place made,1,North America,,United States,,missing,missing,,,,,,,NULL,,http://www.geonames.org/6252001/united-states.html,AAAAADpPczo=
5234,59762,Place made,1,North America,,United States,,missing,missing,,,,,,,NULL,,,AAAAADpPc6E=
12310,60552,Place made,1,North America,,United States,,missing,missing,,,,,,,NULL,,,AAAAADpPdCc=
12311,60553,Place made,1,North America,,United States,,missing,missing,,,,,,,NULL,,,AAAAADpPdCg=
8801,61096,Place made,1,North America,,United States,,missing,missing,,,,,,,,,http://www.geonames.org/maps/google_39.76_-98.5.html,AAAAAFysoOk=
8801,61096,Place made,1,North America,,United States,,missing,missing,,,,,,,,,http://www.geonames.org/maps/google_39.76_-98.5.html,AAAAAFysoOk=
10964,61912,Place excavated,1,North America,American southwest,United States,Mimbres valley,New Mexico,missing,,,,,Galaz Ruin,,NULL,,,AAAAADpPdmc=
40180,62893,Place made,1,North America,,United States,,New York,"Greenpoint, Brooklyn, New York",,,,,Union Porcelain Works,,NULL,,,AAAAADpPeCA=
47710,62896,Place made,1,Africa,,Egypt,,missing,Abydos,,,,,Mortuary Temple of Seti I,,NULL,,http://www.geonames.org/maps/wikipedia_25.7327_32.628.html,AAAAADpPeCE=
49955,64353,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZqyaU=
